CodDpt,LibDpt,Filtre,Titre,id,Catégorie,label,Color,Class,min,mean,max,ref,unite,Panel,Image,Credits
,,Choisir une ville,Choisir une ville dans le menu ci-dessus pour afficher les données,,,,blanc,vide,,,,,,,https://public.flourish.studio/uploads/168913/1d155271-afd4-4763-98a8-67caf3c31195.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/chaleur"" title=""chaleur icônes"">Chaleur icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Température moyenne,G1,Climat,hiver,climat,,"7,6","8,1","8,6","6,6",°C,"À l'échelle de la France, la température moyenne annuelle pourra augmenter de plus de 2 °C d'ici le milieu du XXIe siècle par rapport au climat récent, ce réchauffement étant plus marqué l'été que l'hiver.",https://public.flourish.studio/uploads/168913/1d155271-afd4-4763-98a8-67caf3c31195.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/chaleur"" title=""chaleur icônes"">Chaleur icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Température moyenne,G1,Climat,printemps,climat,,"13,4","14,1","14,5","12,7",°C,"À l'échelle de la France, la température moyenne annuelle pourra augmenter de plus de 2 °C d'ici le milieu du XXIe siècle par rapport au climat récent, ce réchauffement étant plus marqué l'été que l'hiver.",https://public.flourish.studio/uploads/168913/1d155271-afd4-4763-98a8-67caf3c31195.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/chaleur"" title=""chaleur icônes"">Chaleur icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Température moyenne,G1,Climat,été,climat,,"22,9","23,8","25,0","21,8",°C,"À l'échelle de la France, la température moyenne annuelle pourra augmenter de plus de 2 °C d'ici le milieu du XXIe siècle par rapport au climat récent, ce réchauffement étant plus marqué l'été que l'hiver.",https://public.flourish.studio/uploads/168913/1d155271-afd4-4763-98a8-67caf3c31195.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/chaleur"" title=""chaleur icônes"">Chaleur icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Température moyenne,G1,Climat,automne,climat,,"15,8","16,6","17,2","14,7",°C,"À l'échelle de la France, la température moyenne annuelle pourra augmenter de plus de 2 °C d'ici le milieu du XXIe siècle par rapport au climat récent, ce réchauffement étant plus marqué l'été que l'hiver.",https://public.flourish.studio/uploads/168913/1d155271-afd4-4763-98a8-67caf3c31195.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/chaleur"" title=""chaleur icônes"">Chaleur icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Jours de gel,G2,Climat,,climat,,5,7,10,16,j,"Est considéré comme jour de gel un jour où la température descend en dessous de 0 °C. À l'échelle de la France, le nombre annuel de jours de gel est prévu en forte baisse d'ici le milieu du XXIe siècle.",https://public.flourish.studio/uploads/168913/f4bc32e9-0cb4-4c94-8bf8-43f31162b2a8.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/du-froid"" title=""du froid icônes"">Du froid icônes créées par Tru3 Art - Flaticon</a>"
11,Aude,11 - Carcassonne,Cumul de précipitations,G3,Climat,hiver,climat,,"178,8","197,4","218,1","186,4",mm,"Les cumuls de précipitations sont calculés en mm : 1 mm de précipitations correspond au recueil d'un litre d’eau par mètre-carré de surface au sol. À l'échelle de la France, les cumuls annuels de précipitations évoluent peu d’ici 2050, mais une légère baisse en été et une légère hausse en hiver sont cependant probables sur la majorité du pays.",https://public.flourish.studio/uploads/168913/a6e4bd92-0990-4254-9b61-593e6f6e44d6.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/pluie"" title=""pluie icônes"">Pluie icônes créées par tulpahn - Flaticon</a>"
11,Aude,11 - Carcassonne,Cumul de précipitations,G3,Climat,printemps,climat,,"167,6","197,7","223,9","203,5",mm,"Les cumuls de précipitations sont calculés en mm : 1 mm de précipitations correspond au recueil d'un litre d’eau par mètre-carré de surface au sol. À l'échelle de la France, les cumuls annuels de précipitations évoluent peu d’ici 2050, mais une légère baisse en été et une légère hausse en hiver sont cependant probables sur la majorité du pays.",https://public.flourish.studio/uploads/168913/a6e4bd92-0990-4254-9b61-593e6f6e44d6.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/pluie"" title=""pluie icônes"">Pluie icônes créées par tulpahn - Flaticon</a>"
11,Aude,11 - Carcassonne,Cumul de précipitations,G3,Climat,été,climat,,"94,8","119,0","135,4","133,2",mm,"Les cumuls de précipitations sont calculés en mm : 1 mm de précipitations correspond au recueil d'un litre d’eau par mètre-carré de surface au sol. À l'échelle de la France, les cumuls annuels de précipitations évoluent peu d’ici 2050, mais une légère baisse en été et une légère hausse en hiver sont cependant probables sur la majorité du pays.",https://public.flourish.studio/uploads/168913/a6e4bd92-0990-4254-9b61-593e6f6e44d6.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/pluie"" title=""pluie icônes"">Pluie icônes créées par tulpahn - Flaticon</a>"
11,Aude,11 - Carcassonne,Cumul de précipitations,G3,Climat,automne,climat,,"156,6","179,3","218,3","172,2",mm,"Les cumuls de précipitations sont calculés en mm : 1 mm de précipitations correspond au recueil d'un litre d’eau par mètre-carré de surface au sol. À l'échelle de la France, les cumuls annuels de précipitations évoluent peu d’ici 2050, mais une légère baisse en été et une légère hausse en hiver sont cependant probables sur la majorité du pays.",https://public.flourish.studio/uploads/168913/a6e4bd92-0990-4254-9b61-593e6f6e44d6.png,"<a href=""https://www.flaticon.com/fr/icones-gratuites/pluie"" title=""pluie icônes"">Pluie icônes créées par tulpahn - Flaticon</a>"
